Timestamp,RTU_1 OccManCmd
01-Jan-19 06:00:39 am,Occ
01-Jan-19 06:00:53 pm,Unocc
02-Jan-19 12:47:22 am,Occ
02-Jan-19 01:17:34 am,Unocc
02-Jan-19 06:00:18 am,Occ
02-Jan-19 06:01:00 pm,Unocc
02-Jan-19 10:05:38 pm,Occ
02-Jan-19 10:36:08 pm,Unocc
03-Jan-19 06:00:07 am,Occ
03-Jan-19 06:00:50 pm,Unocc
03-Jan-19 10:01:43 pm,Occ
03-Jan-19 10:32:09 pm,Unocc
04-Jan-19 06:00:06 am,Occ
04-Jan-19 06:01:02 pm,Unocc
06-Jan-19 02:03:19 am,Unocc
06-Jan-19 02:03:37 am,Unocc
06-Jan-19 02:03:42 am,Unocc
06-Jan-19 02:03:43 am,Auto
06-Jan-19 02:04:08 am,Unocc
06-Jan-19 06:49:07 pm,Occ
06-Jan-19 07:19:20 pm,Unocc
07-Jan-19 06:00:09 am,Occ
07-Jan-19 06:01:27 pm,Unocc
07-Jan-19 10:08:49 pm,Occ
07-Jan-19 10:40:05 pm,Unocc
08-Jan-19 06:00:16 am,Occ
08-Jan-19 06:00:54 pm,Unocc
08-Jan-19 10:06:21 pm,Occ
08-Jan-19 10:37:05 pm,Unocc
09-Jan-19 06:00:18 am,Occ
09-Jan-19 06:01:50 pm,Unocc
09-Jan-19 09:44:37 pm,Occ
09-Jan-19 10:16:28 pm,Unocc
10-Jan-19 06:00:53 am,Occ
10-Jan-19 06:01:00 pm,Unocc
10-Jan-19 09:04:49 pm,Occ
10-Jan-19 09:34:57 pm,Unocc
11-Jan-19 06:00:15 am,Occ
11-Jan-19 06:01:36 pm,Unocc
12-Jan-19 05:18:34 am,Occ
12-Jan-19 05:49:18 am,Unocc
13-Jan-19 01:44:41 pm,Occ
13-Jan-19 02:16:11 pm,Unocc
13-Jan-19 06:19:09 pm,Occ
13-Jan-19 06:49:22 pm,Unocc
14-Jan-19 06:00:03 am,Occ
14-Jan-19 06:01:31 pm,Unocc
14-Jan-19 10:12:12 pm,Occ
14-Jan-19 10:43:20 pm,Unocc
15-Jan-19 06:00:10 am,Occ
15-Jan-19 06:01:10 pm,Unocc
