Timestamp,RTU_1 UnitState
01-Jan-19 06:00:00 am,FanOnly
01-Jan-19 06:00:00 pm,Off
01-Jan-19 10:00:00 pm,Recirc
02-Jan-19 06:00:00 am,FanOnly
02-Jan-19 06:00:00 pm,Off
02-Jan-19 10:00:00 pm,Recirc
03-Jan-19 06:00:00 am,Start
03-Jan-19 06:00:00 pm,Off
03-Jan-19 10:00:00 pm,FanOnly
04-Jan-19 06:00:00 am,FanOnly
04-Jan-19 06:00:00 pm,Off
06-Jan-19 02:00:00 am,Off
06-Jan-19 06:00:00 pm,Recirc
07-Jan-19 06:00:00 am,Start
07-Jan-19 06:00:00 pm,Off
07-Jan-19 10:00:00 pm,Recirc
08-Jan-19 06:00:00 am,FanOnly
08-Jan-19 06:00:00 pm,Off
08-Jan-19 10:00:00 pm,Recirc
09-Jan-19 06:00:00 am,FanOnly
09-Jan-19 06:00:00 pm,FanOnly
09-Jan-19 10:00:00 pm,Recirc
10-Jan-19 06:00:00 am,FanOnly
10-Jan-19 06:00:00 pm,Recirc
11-Jan-19 06:00:00 am,FanOnly
11-Jan-19 06:00:00 pm,Off
12-Jan-19 02:00:00 am,Recirc
13-Jan-19 10:00:00 am,Recirc
13-Jan-19 02:00:00 pm,FanOnly
13-Jan-19 06:00:00 pm,Recirc
14-Jan-19 06:00:00 am,Start
14-Jan-19 06:00:00 pm,Off
14-Jan-19 10:00:00 pm,Recirc
15-Jan-19 06:00:00 am,Recirc
15-Jan-19 06:00:00 pm,Start
16-Jan-19 06:00:00 am,FanOnly
16-Jan-19 06:00:00 pm,Off
16-Jan-19 10:00:00 pm,Recirc
17-Jan-19 06:00:00 am,FanOnly
17-Jan-19 10:00:00 am,Clg
17-Jan-19 02:00:00 pm,Econo
17-Jan-19 06:00:00 pm,Recirc
17-Jan-19 10:00:00 pm,FanOnly
18-Jan-19 06:00:00 am,FanOnly
18-Jan-19 06:00:00 pm,Off
19-Jan-19 06:00:00 am,Recirc
19-Jan-19 10:00:00 am,Recirc
21-Jan-19 06:00:00 am,FanOnly
21-Jan-19 06:00:00 pm,Off
22-Jan-19 06:00:00 am,Start
22-Jan-19 06:00:00 pm,Recirc
22-Jan-19 10:00:00 pm,FanOnly
23-Jan-19 06:00:00 am,FanOnly
23-Jan-19 06:00:00 pm,Off
24-Jan-19 06:00:00 am,FanOnly
24-Jan-19 06:00:00 pm,Start
24-Jan-19 10:00:00 pm,Recirc
25-Jan-19 06:00:00 am,FanOnly
25-Jan-19 06:00:00 pm,Start
26-Jan-19 02:00:00 pm,Recirc
27-Jan-19 06:00:00 am,Recirc
28-Jan-19 06:00:00 am,Start
28-Jan-19 06:00:00 pm,Off
28-Jan-19 10:00:00 pm,Recirc
29-Jan-19 06:00:00 am,Start
29-Jan-19 02:00:00 pm,Clg
29-Jan-19 06:00:00 pm,Off
29-Jan-19 10:00:00 pm,Recirc
30-Jan-19 06:00:00 am,FanOnly
30-Jan-19 06:00:00 pm,Recirc
30-Jan-19 10:00:00 pm,FanOnly
31-Jan-19 06:00:00 am,FanOnly
31-Jan-19 06:00:00 pm,Off
31-Jan-19 10:00:00 pm,Recirc
01-Feb-19 06:00:00 am,FanOnly
01-Feb-19 06:00:00 pm,Off
03-Feb-19 02:00:00 pm,Recirc
03-Feb-19 06:00:00 pm,Recirc
04-Feb-19 06:00:00 am,Recirc
04-Feb-19 10:00:00 am,Econo
04-Feb-19 06:00:00 pm,Start
05-Feb-19 06:00:00 am,Recirc
05-Feb-19 10:00:00 am,Econo
05-Feb-19 06:00:00 pm,Start
06-Feb-19 06:00:00 am,FanOnly
06-Feb-19 06:00:00 pm,Off
06-Feb-19 10:00:00 pm,Recirc
07-Feb-19 06:00:00 am,Recirc
07-Feb-19 10:00:00 am,Econo
07-Feb-19 06:00:00 pm,Recirc
07-Feb-19 10:00:00 pm,Off
08-Feb-19 02:00:00 am,Recirc
08-Feb-19 06:00:00 am,FanOnly
08-Feb-19 06:00:00 pm,Off
10-Feb-19 06:00:00 pm,Recirc
11-Feb-19 06:00:00 am,Start
11-Feb-19 06:00:00 pm,Start
12-Feb-19 06:00:00 am,FanOnly
12-Feb-19 06:00:00 pm,Start
13-Feb-19 06:00:00 am,Start
13-Feb-19 06:00:00 pm,Off
14-Feb-19 06:00:00 am,FanOnly
14-Feb-19 06:00:00 pm,Recirc
14-Feb-19 10:00:00 pm,Start
15-Feb-19 06:00:00 am,Start
15-Feb-19 06:00:00 pm,Off
17-Feb-19 02:00:00 am,Recirc
17-Feb-19 06:00:00 pm,Recirc
18-Feb-19 06:00:00 am,Start
18-Feb-19 10:00:00 am,Start
18-Feb-19 06:00:00 pm,Recirc
19-Feb-19 06:00:00 am,Start
19-Feb-19 06:00:00 pm,Recirc
19-Feb-19 10:00:00 pm,Off
20-Feb-19 06:00:00 am,FanOnly
20-Feb-19 06:00:00 pm,Start
20-Feb-19 10:00:00 pm,Recirc
21-Feb-19 06:00:00 am,FanOnly
21-Feb-19 06:00:00 pm,Recirc
21-Feb-19 10:00:00 pm,Off
22-Feb-19 06:00:00 am,FanOnly
22-Feb-19 06:00:00 pm,Off
24-Feb-19 06:00:00 pm,Recirc
25-Feb-19 02:00:00 am,Recirc
25-Feb-19 06:00:00 am,Econo
25-Feb-19 06:00:00 pm,Off
25-Feb-19 10:00:00 pm,Recirc
26-Feb-19 06:00:00 am,Start
26-Feb-19 06:00:00 pm,Recirc
26-Feb-19 10:00:00 pm,Off
27-Feb-19 06:00:00 am,FanOnly
27-Feb-19 06:00:00 pm,Recirc
27-Feb-19 10:00:00 pm,Recirc
28-Feb-19 06:00:00 am,FanOnly
28-Feb-19 06:00:00 pm,Off
01-Mar-19 06:00:00 am,FanOnly
01-Mar-19 06:00:00 pm,Off
02-Mar-19 02:00:00 pm,Off
02-Mar-19 06:00:00 pm,FanOnly
02-Mar-19 10:00:00 pm,Off
04-Mar-19 06:00:00 am,FanOnly
04-Mar-19 02:00:00 pm,Recirc
04-Mar-19 06:00:00 pm,Recirc
05-Mar-19 06:00:00 am,FanOnly
05-Mar-19 06:00:00 pm,Start
06-Mar-19 06:00:00 am,FanOnly
06-Mar-19 06:00:00 pm,Off
06-Mar-19 10:00:00 pm,Recirc
07-Mar-19 06:00:00 am,Start
07-Mar-19 06:00:00 pm,Start
08-Mar-19 06:00:00 am,FanOnly
08-Mar-19 10:00:00 am,Econo
08-Mar-19 06:00:00 pm,Off
08-Mar-19 10:00:00 pm,Recirc
09-Mar-19 02:00:00 pm,Recirc
11-Mar-19 06:00:00 am,FanOnly
11-Mar-19 06:00:00 pm,Off
11-Mar-19 10:00:00 pm,Recirc
12-Mar-19 06:00:00 am,FanOnly
12-Mar-19 06:00:00 pm,Start
13-Mar-19 06:00:00 am,FanOnly
13-Mar-19 02:00:00 pm,Recirc
13-Mar-19 06:00:00 pm,Start
13-Mar-19 10:00:00 pm,FanOnly
14-Mar-19 06:00:00 am,Recirc
14-Mar-19 10:00:00 am,Clg
14-Mar-19 02:00:00 pm,Clg
14-Mar-19 06:00:00 pm,Recirc
14-Mar-19 10:00:00 pm,Off
15-Mar-19 06:00:00 am,FanOnly
15-Mar-19 10:00:00 am,Clg
15-Mar-19 06:00:00 pm,Off
16-Mar-19 06:00:00 am,Recirc
16-Mar-19 10:00:00 am,Off
16-Mar-19 06:00:00 pm,Recirc
17-Mar-19 02:00:00 pm,FanOnly
17-Mar-19 10:00:00 pm,Recirc
18-Mar-19 06:00:00 am,FanOnly
18-Mar-19 10:00:00 am,Clg
18-Mar-19 06:00:00 pm,Off
18-Mar-19 10:00:00 pm,FanOnly
19-Mar-19 06:00:00 am,FanOnly
19-Mar-19 10:00:00 am,Clg
19-Mar-19 06:00:00 pm,Recirc
19-Mar-19 10:00:00 pm,Htg
20-Mar-19 06:00:00 am,FanOnly
20-Mar-19 10:00:00 am,Clg
20-Mar-19 10:00:00 pm,MinDAT
21-Mar-19 06:00:00 am,FanOnly
21-Mar-19 10:00:00 am,Clg
21-Mar-19 06:00:00 pm,FanOnly
22-Mar-19 06:00:00 am,FanOnly
22-Mar-19 10:00:00 am,Clg
22-Mar-19 02:00:00 pm,Clg
22-Mar-19 06:00:00 pm,Off
23-Mar-19 06:00:00 am,Start
23-Mar-19 10:00:00 am,FanOnly
24-Mar-19 02:00:00 pm,FanOnly
25-Mar-19 06:00:00 am,FanOnly
25-Mar-19 10:00:00 am,Clg
25-Mar-19 02:00:00 pm,Clg
25-Mar-19 06:00:00 pm,Recirc
25-Mar-19 10:00:00 pm,FanOnly
26-Mar-19 06:00:00 am,FanOnly
26-Mar-19 10:00:00 am,Clg
26-Mar-19 06:00:00 pm,Off
26-Mar-19 10:00:00 pm,Recirc
27-Mar-19 06:00:00 am,FanOnly
27-Mar-19 10:00:00 am,Clg
27-Mar-19 02:00:00 pm,Clg
27-Mar-19 06:00:00 pm,Recirc
28-Mar-19 06:00:00 am,FanOnly
28-Mar-19 10:00:00 am,Clg
28-Mar-19 06:00:00 pm,FanOnly
29-Mar-19 06:00:00 am,FanOnly
29-Mar-19 10:00:00 am,Clg
29-Mar-19 06:00:00 pm,Off
31-Mar-19 02:00:00 pm,FanOnly
01-Apr-19 06:00:00 am,FanOnly
01-Apr-19 10:00:00 am,Clg
01-Apr-19 06:00:00 pm,Recirc
02-Apr-19 06:00:00 am,FanOnly
02-Apr-19 10:00:00 am,Clg
02-Apr-19 06:00:00 pm,FanOnly
03-Apr-19 06:00:00 am,FanOnly
03-Apr-19 10:00:00 am,Clg
03-Apr-19 06:00:00 pm,FanOnly
04-Apr-19 06:00:00 am,FanOnly
04-Apr-19 10:00:00 am,Clg
04-Apr-19 06:00:00 pm,Off
05-Apr-19 06:00:00 am,FanOnly
05-Apr-19 10:00:00 am,Htg
05-Apr-19 06:00:00 pm,Off
06-Apr-19 02:00:00 am,Recirc
07-Apr-19 06:00:00 am,Recirc
07-Apr-19 10:00:00 am,Recirc
07-Apr-19 02:00:00 pm,FanOnly
08-Apr-19 06:00:00 am,FanOnly
08-Apr-19 10:00:00 am,Clg
08-Apr-19 06:00:00 pm,Off
09-Apr-19 06:00:00 am,FanOnly
09-Apr-19 10:00:00 am,Clg
09-Apr-19 02:00:00 pm,Clg
09-Apr-19 06:00:00 pm,Off
10-Apr-19 06:00:00 am,FanOnly
10-Apr-19 06:00:00 pm,Off
10-Apr-19 10:00:00 pm,Off
11-Apr-19 06:00:00 am,FanOnly
11-Apr-19 02:00:00 pm,Clg
11-Apr-19 06:00:00 pm,Recirc
